jd, h2o, co2, dust
2455500.6763493 5.569235939895676e-05 3.5262654706368304e-05 3.5262654706368304e-05
2455500.7180155 5.254373919944255e-05 3.4400734636297605e-05 3.4400734636297605e-05
2455500.7268674 5.206073149336985e-05 3.214312911062712e-05 3.214312911062712e-05
2455500.7707316 4.879792782926707e-05 2.5894988282437613e-05 2.5894988282437613e-05
2455500.8123978 4.1371199486300845e-05 1.919007450912841e-05 1.919007450912841e-05
2455500.8540651 4.206603758931615e-05 2.1581774488101773e-05 2.1581774488101773e-05
2455500.8957312 4.4692833260806286e-05 2.4708587302127122e-05 2.4708587302127122e-05
2455500.9373985 4.3417877109797974e-05 2.181983832750964e-05 2.181983832750964e-05
2455500.9790647 3.6204419990059814e-05 2.0617949269558165e-05 2.0617949269558165e-05
2455501.0513576 0.0 0.0 0.0
