Created 04/28/21 by L. Feaga
HRI-IR/raw/DOY/ID/hi*_001*.fit
 
NAME                   SIZE      EXPID   OBSMIDJD         OBSDATE                 IMGMODEN IMGH027 INTTIME (ms)  TARSCR (km)   PXLSCALE (m/pix)  
DOY 298 
hi10103101_4000025_001 512 256   4000025 2455500.54792450 2010-10-31T01:08:56.678 BINFF    38      8000.33000000 4824123.77010 48241.238
hi10103102_4000027_001 512 256   4000027 2455500.58959060 2010-10-31T02:08:56.632 BINFF    38      8000.33000000 4779873.87282 47798.739
hi10103103_4000029_001 512 256   4000029 2455500.63125700 2010-10-31T03:08:56.601 BINFF    38      8000.33000000 4735621.79942 47356.218
hi10103104_4000031_001 512 256   4000031 2455500.67292300 2010-10-31T04:08:56.543 BINFF    38      8000.33000000 4691368.09596 46913.681
hi10103105_4000033_001 512 256   4000033 2455500.71458910 2010-10-31T05:08:56.501 BINFF    38      8000.33000000 4647112.25211 46471.123
hi10103105_4000035_001 512 256   4000035 2455500.72344100 2010-10-31T05:21:41.302 BINFF    38      8000.33000000 4637709.97414 46377.100
hi10103106_4000037_001 512 256   4000037 2455500.76730520 2010-10-31T06:24:51.173 BINFF    38      8000.33000000 4591116.93171 45911.169
hi10103107_4000039_001 512 256   4000039 2455500.80897140 2010-10-31T07:24:51.130 BINFF    38      8000.33000000 4546856.74086 45468.567
hi10103108_4000041_001 512 256   4000041 2455500.85063870 2010-10-31T08:24:51.186 BINFF    38      8000.33000000 4502593.45937 45025.935
hi10103109_4000043_001 512 256   4000043 2455500.89230480 2010-10-31T09:24:51.132 BINFF    38      8000.33000000 4458329.65068 44583.297
hi10103110_4000045_001 512 256   4000045 2455500.93397210 2010-10-31T10:24:51.187 BINFF    38      8000.33000000 4414062.64303 44140.626
hi10103111_4000047_001 512 256   4000047 2455500.97563830 2010-10-31T11:24:51.153 BINFF    38      8000.33000000 4369794.90402 43697.949
hi10103113_4000001_001 512 256   4000001 2455501.04793120 2010-10-31T13:08:57.257 BINFF    38      8000.33000000 4292984.06058 42929.841
hi10103114_4000003_001 512 256   4000003 2455501.08959730 2010-10-31T14:08:57.203 BINFF    38      8000.33000000 4248711.63187 42487.116
hi10103115_4000005_001 512 256   4000005 2455501.13126330 2010-10-31T15:08:57.153 BINFF    38      8000.33000000 4204437.38626 42044.374
hi10103116_4000007_001 512 256   4000007 2455501.17292950 2010-10-31T16:08:57.107 BINFF    38      8000.33000000 4160161.34176 41601.613
hi10103117_4000009_001 512 256   4000009 2455501.21459550 2010-10-31T17:08:57.053 BINFF    38      8000.33000000 4115883.66056 41158.837
hi10103118_4000011_001 512 256   4000011 2455501.25626070 2010-10-31T18:08:56.928 BINFF    38      8000.33000000 4071605.12948 40716.051
hi10103119_4000013_001 512 256   4000013 2455501.29792690 2010-10-31T19:08:56.882 BINFF    38      8000.33000000 4027323.94077 40273.239
hi10103120_4000015_001 512 256   4000015 2455501.33959300 2010-10-31T20:08:56.832 BINFF    38      8000.33000000 3983041.12148 39830.411
hi10103121_4000017_001 512 256   4000017 2455501.38125910 2010-10-31T21:08:56.789 BINFF    38      8000.33000000 3938756.55513 39387.566
hi10103122_4000019_001 512 256   4000019 2455501.42292530 2010-10-31T22:08:56.743 BINFF    38      8000.33000000 3894470.38753 38944.704
hi10103123_4000021_001 512 256   4000021 2455501.46459140 2010-10-31T23:08:56.700 BINFF    38      8000.33000000 3850182.55377 38501.826
DOY 305
hi10110100_4000023_001 512 256   4000023 2455501.50625640 2010-11-01T00:08:56.555 BINFF    38      8000.33000000 3805894.36333 38058.944
hi10110101_4000025_001 512 256   4000025 2455501.54792260 2010-11-01T01:08:56.509 BINFF    38      8000.33000000 3761603.38336 37616.034
hi10110102_4000027_001 512 256   4000027 2455501.58958870 2010-11-01T02:08:56.466 BINFF    38      8000.33000000 3717310.78539 37173.108
